"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2020-150365","特願2019-044830","2019/03/12","2020/09/17","無人搬送車の通信システム","株式会社豊田自動織機","H04W76/10,B65G67/60@G,H04W4/30,H04W4/80,H04W84/10,110","特開2020-150365","","特許7283144","拒絶2023-001723","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-150365/11/ja"
"特許6756941","特願2020-076196","2020/04/22","2020/09/16","無人搬送車、及び該無人搬送車を備えた産業機械システム","ＤＭＧ森精機株式会社","B25J5/00@A,B25J13/08@A,G05D1/02@H,B23Q11/00@K,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/644,G05D105:00,G05D105:10,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2021-171856","","特許6756941","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6756941/15/ja"
"特開2020-135619","特願2019-030483","2019/02/22","2020/08/31","無人搬送システム及び無人搬送車の自己位置推定方法","セイコーエプソン株式会社","G05D1/02@J,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/246,G05D1/43,G05D1/60,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:50,G05D111:63","特開2020-135619","","特許7275636","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-135619/11/ja"
"特開2020-135469","特願2019-028668","2019/02/20","2020/08/31","無人搬送車","住友重機械工業株式会社","G05D1/02@Y,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/622,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2020-135469","","特許7270410","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-135469/11/ja"
"特開2020-135085","特願2019-024187","2019/02/14","2020/08/31","レーザ誘導方式の無人搬送車","三菱ロジスネクスト株式会社","G05D1/02@L,G01S7/481@A,G05D1/24,G05D1/242,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2020-135085","","特許6849714","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-135085/11/ja"
"特許6747764","特願2019-024186","2019/02/14","2020/08/26","レーザ誘導方式の無人搬送車","三菱ロジスネクスト株式会社","G01S7/484,B66F9/24@A,G05D1/02@L,G01S17/931,B66F9/24@H,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63","特開2020-134180","","特許6747764","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6747764/15/ja"
"特開2020-111443","特願2019-004422","2019/01/15","2020/07/27","無人搬送車","株式会社ビジュアルジャパン","B65G1/137@B,B65G1/137@G","特開2020-111443","","特許7424596","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-111443/11/ja"
"特開2020-107329","特願2019-214652","2019/11/27","2020/07/09","組み合わせて使用される二輪無人搬送車","ティーアールエイ、ロボティクス、リミテッド,アライバル、リミテッド","G05D1/02@X,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:50,G05D111:63","特開2020-107329","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-107329/11/ja"
"特開2020-083004","特願2018-219535","2018/11/22","2020/06/04","無人搬送車の台車連結装置","株式会社フジキカイ","B61G1/06,B61B13/00@S,B60D1/52","特開2020-083004","","特許6900045","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-083004/11/ja"
"特開2020-077295","特願2018-211284","2018/11/09","2020/05/21","無人搬送車、無人搬送車の制御方法、及びプログラム","株式会社東芝","G05D1/02@H,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/622,G05D1/628,G05D1/633,G05D1/644,G05D1/648,G05D1/656,G05D1/672,G05D1/69,G05D1/693,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2020-077295","","特許6980637","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-077295/11/ja"
"特許6697623","特願2019-198468","2019/10/31","2020/05/20","無人搬送車","株式会社ＩＨＩ物流産業システム","B65H19/12@A","特開2021-070568","","特許6697623","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6697623/15/ja"
"特開2020-071699","特願2018-205723","2018/10/31","2020/05/07","コンテナ無人搬送車","株式会社豊田自動織機","G05D1/02@Y,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/646,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63","特開2020-071699","","特許7052675","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-071699/11/ja"
"特表2022-518091","特願2021-518951","2019/09/30","2020/04/23","電池アセンブリロック装置及び無人搬送車","杭州海康机器人技術有限公司","B60K1/04@A,H01M50/244@A,H01M50/249,B60L53/80,B60R16/04@K,B60S5/06","特表2022-518091","","特許7222083","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-518091/11/ja"
"特表2022-514157","特願2021-518914","2018/10/10","2020/04/16","人間相互作用無人搬送車","霊動科技（北京）有限公司","G05D1/02@K,G08G1/00@X,A45C13/28,B60W50/14,B62B3/02@E,G06F3/0488,G06V40/20,G05D1/222,G05D1/224,G05D1/2285,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/43,G05D1/60,G05D1/622,G05D1/628,G05D1/661,G05D1/686,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特表2022-514157","","特許7178061","","","特許 有効","権利の移転","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-514157/11/ja"
"特表2022-517164","特願2021-517683","2019/09/17","2020/04/02","無人搬送車のシャーシ及び無人搬送車","杭州海康机器人技術有限公司","B61B13/00@A","特表2022-517164","","特許7284811","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-517164/11/ja"
"特開2020-054055","特願2018-179369","2018/09/25","2020/04/02","無人搬送車並びに電池の交換方法および充電方法","三菱重工業株式会社","B60L11/18@Z,H02J50/10,H02J7/00@P,H02J7/00,301@B,H02J7/00,301@D,B60L5/00@B,B60L11/18@C,B60L9/18@J,B60L53/80,B60L50/60,B60L53/12,B60L53/14","特開2020-054055","","特許7101093","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-054055/11/ja"
"特開2020-045202","特願2018-173873","2018/09/18","2020/03/26","ベルト張力調整機構、ベルト式昇降装置及び無人搬送車","株式会社今仙電機製作所","B65G23/44,B65G17/12@H","特開2020-045202","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-045202/11/ja"
"特開2020-045011","特願2018-175580","2018/09/20","2020/03/26","無人搬送車のバッテリ交換装置","三菱自動車工業株式会社","B60K1/04@A,B60L11/18@C,B60L53/80","特開2020-045011","","特許7131234","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-045011/11/ja"
"特開2020-042714","特願2018-171528","2018/09/13","2020/03/19","レーザー式無人搬送車および無人搬送システム","三菱ロジスネクスト株式会社","G05D1/02@L,G05D1/02@E,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:63","特開2020-042714","","特許6707596","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-042714/11/ja"
"特表2021-535026","特願2021-506979","2019/08/27","2020/03/12","無人搬送車または自律移動ロボット等の自律走行車","コマウ・ソシエタ・ペル・アチオニ","B62D65/02","特表2021-535026","","特許7248218","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-535026/11/ja"
"特開2020-036521","特願2018-163823","2018/08/31","2020/03/05","無人搬送車の充電システム","株式会社フジキカイ","B60L11/18@C,B65G1/00,501@C,H02J7/00@P,H02J7/00@X,H02J7/00@B,B60L50/60,B60L53/14","特開2020-036521","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-036521/11/ja"
"特表2021-523853","特願2020-563972","2019/02/15","2019/12/26","ＡＧＶシャーシ機構及びそれを備える無人搬送車","北京京▲東▼尚科信息技▲術▼有限公司,北京京東世紀貿易有限公司,北京京東乾石科技有限公司","B62D63/02,G05D1/02@H,B62D61/10,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特表2021-523853","","特許7171762","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-523853/11/ja"
"特開2019-220035","特願2018-118364","2018/06/22","2019/12/26","無人搬送車、無人搬送車の大域地図作成システム及び大域地図作成方法","株式会社明電舎","G05D1/02@E,G05D1/02@L,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/244,G05D1/245,G05D1/246,G05D1/43,G05D1/60,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:30,G05D111:63","特開2019-220035","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-220035/11/ja"
"特表2021-520564","特願2020-560359","2019/05/06","2019/12/19","無人搬送車を制御する方法、装置およびシステム","北京京▲東▼尚科信息技▲術▼有限公司,北京京東世紀貿易有限公司","G05D1/02@P,G05D1/224,G05D1/225,G05D1/226,G05D1/228,G05D1/229,G05D1/43,G05D1/60,G05D1/648,G05D1/69,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:70,G05D109:00,G05D109:10,G05D111:30","特表2021-520564","","特許7052080","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-520564/11/ja"
"特開2019-215773","特願2018-113399","2018/06/14","2019/12/19","無人搬送車の走行制御装置及び走行制御方法","株式会社明電舎","G05D1/02@H,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50,G05D111:63","特開2019-215773","","特許7040308","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-215773/11/ja"
"特開2019-213385","特願2018-109096","2018/06/07","2019/12/12","コンテナ用無人搬送車の非接触式充電システム","株式会社豊田自動織機","H02J50/90,H02J50/10,H02J50/80,B60M7/00@X,H02J7/00@P,H02J7/00,301@D,B60L5/00@B,B60L11/18@C,G05D1/02@H,B66C19/00@B,B60L53/38,B60L50/60,B60L53/12,B60L53/66,G05D1/222,G05D1/228,G05D1/229,G05D1/43,G05D1/60,G05D1/661,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:30","特開2019-213385","","特許6996427","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-213385/11/ja"
"特開2019-207515","特願2018-102020","2018/05/29","2019/12/05","無人搬送車の経路データ作成支援プログラム及び経路データ作成支援方法","株式会社明電舎","G05D1/02@A,G05D1/223,G05D1/224,G05D1/225,G05D1/228,G05D1/229,G05D1/244,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2019-207515","","特許7020296","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-207515/11/ja"
"特許6611215","特願2018-171152","2018/09/13","2019/11/27","無人搬送車","三菱ロジスネクスト株式会社","B61B13/00@A,B66F9/24@A","特開2020-040596","","特許6611215","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6611215/15/ja"
"特開2019-197349","特願2018-090375","2018/05/09","2019/11/14","無人搬送車のスピンターンにおける回転角度制御方法","中西金属工業株式会社","G05D1/02@Q,G05D1/229,G05D1/24,G05D1/242,G05D1/248,G05D1/43,G05D1/60,G05D1/611,G05D1/646,G05D1/672,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2019-197349","","特許7135416","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-197349/11/ja"
"特開2019-194757","特願2018-088209","2018/05/01","2019/11/07","無人搬送車及びその制御方法","ＩＫＯＭＡロボテック株式会社,三和電子株式会社","G05D1/02@K,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D109:00,G05D111:00,G05D111:63","特開2019-194757","","特許6639557","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-194757/11/ja"
"特開2019-189463","特願2019-146822","2019/08/08","2019/10/31","入出荷支援システム、入出荷支援方法及び無人搬送車","株式会社日立製作所,株式会社日立インダストリアルプロダクツ","B65G1/00,501@C","特開2019-189463","","特許6810772","全部異議2021-700611","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-189463/11/ja"
"特許6598265","特願2018-136359","2018/07/20","2019/10/30","レーザー式無人搬送車用棚及びそれを用いた無人搬送システム","三菱ロジスネクスト株式会社","G05D1/02@E,B65G1/00,501@C,B65G1/10@F,G05D1/24,G05D1/242,G05D1/244,G05D1/248,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:63","特開2020-013430","","特許6598265","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6598265/15/ja"
"特開2019-177836","特願2018-069713","2018/03/30","2019/10/17","無人搬送車","日本電産シンポ株式会社","B61B13/00@A,B61G1/34,B60D1/02@Z","特開2019-177836","","特許7070869","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-177836/11/ja"
"特開2019-176607","特願2018-061782","2018/03/28","2019/10/10","受電コイル取付治具、受電ユニット、無人搬送車","日本電産株式会社","B60L5/00@B,B61B13/00@T,B60L11/18@C,B60L50/60,B60L53/12","特開2019-176607","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-176607/11/ja"
"特開2019-170076","特願2018-056320","2018/03/23","2019/10/03","コンテナ用無人搬送車の非接触式充電システムおよびコンテナ用無人搬送車","株式会社豊田自動織機","H02J7/00,301@D,H02J50/10,H02J7/00@P,G05D1/02@H,G05D1/222,G05D1/229,G05D1/43,G05D1/60,G05D1/644,G05D1/661,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:30","特開2019-170076","","特許7069918","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-170076/11/ja"
"特開2019-162954","特願2018-052389","2018/03/20","2019/09/26","無人搬送車","株式会社イシダ","B61B13/00@A,B62B3/04@B,B62B5/00@C,B61G1/02,B65G1/00,501@C","特開2019-162954","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-162954/11/ja"
"特開2019-162953","特願2018-052384","2018/03/20","2019/09/26","連結機構、および、連結機構を備えた無人搬送車","株式会社イシダ","B61G1/02,B61B13/00@S,B65G1/00,501@C","特開2019-162953","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-162953/11/ja"
"特開2019-161733","特願2018-041891","2018/03/08","2019/09/19","キャパシタユニット、受電装置及び無人搬送車","株式会社ダイヘン","H02J7/00,302@A,H01G11/08,H02J7/00@P,H02J7/00,301@D,H02J7/00@S,H02J7/00@B,H01M10/42@P","特開2019-161733","","特許7043296","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161733/11/ja"
"特開2019-139666","特願2018-024649","2018/02/15","2019/08/22","無人搬送車の制御方法","株式会社豊田自動織機","G05D1/02@X,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50","特開2019-139666","","特許7052398","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-139666/11/ja"
"特表2020-527810","特願2020-502623","2019/04/12","2019/08/15","ナビゲーション制御方法、スマート倉庫システム及び無人搬送車","シャンハイ　クイックトロン　インテリジェント　テクノロジー　カンパニー　リミテッド","G05D1/02@P,G05D1/02@J,G05D1/02@T,B65G1/137@A,G05D1/222,G05D1/224,G05D1/225,G05D1/226,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/246,G05D1/43,G05D1/60,G05D1/644,G05D1/656,G05D1/69,G05D1/692,G05D105:00,G05D105:20,G05D109:00,G05D111:00,G05D111:63","特表2020-527810","","特許7024167","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-527810/11/ja"
"特開2019-128750","特願2018-009320","2018/01/24","2019/08/01","無人搬送車の制御システム及び制御方法","株式会社明電舎","G05D1/02@J,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D1/646,G05D1/661,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2019-128750","","特許7043847","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-128750/11/ja"
"特開2019-125275","特願2018-006849","2018/01/19","2019/07/25","無人搬送車および搬送システム","村田機械株式会社","G05D1/02@Z,G05D1/225,G05D1/229,G05D1/43,G05D1/60,G05D1/622,G05D1/656,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2019-125275","","特許7031323","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-125275/11/ja"
"特開2019-125246","特願2018-006443","2018/01/18","2019/07/25","無人搬送車の走行制御方法","中西金属工業株式会社","G05D1/02@B,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D1/644,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2019-125246","","特許6930436","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-125246/11/ja"
"特開2019-125131","特願2018-004749","2018/01/16","2019/07/25","無人搬送車およびその制御方法","株式会社豊田自動織機","G05D1/02@X,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/617,G05D1/80,G05D1/86,G05D105:00,G05D105:20,G05D109:00,G05D111:00,G05D111:63","特開2019-125131","","特許7000870","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-125131/11/ja"
"特開2019-124982","特願2018-003001","2018/01/11","2019/07/25","無人搬送車","愛知機械テクノシステム株式会社","G05D1/02@W,B60R21/00,624@G,B60R21/00,310@M,B60R21/00,991,B60R21/00,992,B60R21/00,993,B60R21/00,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/644,G05D1/648,G05D1/686,G05D107:00,G05D111:00","特開2019-124982","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-124982/11/ja"
"特開2019-119343","特願2018-000318","2018/01/04","2019/07/22","無人搬送車","株式会社東芝","B61B13/00@A,B60R19/48@B,B60R19/04@A,G05D1/02@R,B65G1/00,501@C,G05D1/43,G05D1/60,G05D1/617,G05D1/622,G05D1/628,G05D1/633,G05D1/644,G05D1/693,G05D1/80,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2019-119343","","特許6797848","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-119343/11/ja"
"特開2019-111972","特願2017-247984","2017/12/25","2019/07/11","ローリフト形無人搬送車","愛知機械テクノシステム株式会社","B62B3/00@B,B61B13/00@A,B66F9/24@A,B66F9/12@A,B66F9/075@A","特開2019-111972","","特許6978306","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-111972/11/ja"
"特開2019-109864","特願2017-244210","2017/12/20","2019/07/04","無人搬送車の駆動操舵装置","株式会社明電舎","G05D1/02@X,G05D1/02@W,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/646,G05D107:00,G05D107:20,G05D111:00,G05D111:50,G05D111:60,G05D111:63","特開2019-109864","","特許7119367","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-109864/11/ja"
"特開2019-109863","特願2017-244209","2017/12/20","2019/07/04","無人搬送車の駆動操舵装置","株式会社明電舎","G05D1/02@W,G05D1/02@X,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/646,G05D107:00,G05D107:20,G05D111:00,G05D111:50,G05D111:60,G05D111:63","特開2019-109863","","特許7013843","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-109863/11/ja"
"特開2019-109862","特願2017-244208","2017/12/20","2019/07/04","無人搬送車の駆動操舵装置","株式会社明電舎","G05D1/02@W,G05D1/02@X,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/646,G05D107:00,G05D107:20,G05D111:00,G05D111:50,G05D111:60,G05D111:63","特開2019-109862","","特許7013842","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-109862/11/ja"
"特開2019-108092","特願2017-243863","2017/12/20","2019/07/04","無人搬送車","株式会社明電舎","B61B13/00@A,B60B33/00@Z,B60G21/05","特開2019-108092","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-108092/11/ja"
"特許6537124","特願2018-160382","2018/08/29","2019/07/03","無人搬送車","三菱ロジスネクスト株式会社","B60S9/12,B66C23/78@G,E02F9/08@A,B66F9/075@L","特開2020-032838","","特許6537124","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6537124/15/ja"
"再表2019/123660","特願2019-560006","2017/12/22","2019/06/27","無人搬送車制御システム","株式会社ＦＵＪＩ","G05D1/02@S,G08G1/16@A,G08G1/09@H,G08G1/00@X,G05D1/222,G05D1/225,G05D1/229,G05D1/43,G05D1/60,G05D1/622,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:30","WO2019/123660","","特許6986094","","再表2019/123660","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-123660/19/ja"
"特開2019-091148","特願2017-218260","2017/11/13","2019/06/13","無人搬送車およびその制御方法","株式会社豊田自動織機","G05D1/02@H,B60G17/005,G05D1/24,G05D1/245,G05D1/43,G05D1/60,G05D1/622,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50","特開2019-091148","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-091148/11/ja"
"特開2019-067318","特願2017-194737","2017/10/05","2019/04/25","無人搬送車","株式会社前川製作所","G05D1/02@N,A01B69/00@A,A01B69/00,303@G,A01B69/00,303@L,G05D1/24,G05D1/242,G05D1/247,G05D1/43,G05D1/60,G05D1/648,G05D105:00,G05D105:15,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2019-067318","","特許7011918","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-067318/11/ja"
"特開2019-067317","特願2017-194736","2017/10/05","2019/04/25","無人搬送車","株式会社前川製作所","G05D1/02@N,A01B69/00@A,A01B69/00,303@L,A01B69/00,303@G,G05D1/02@K,G05D1/02@E,G05D1/24,G05D1/242,G05D1/243,G05D1/244,G05D1/43,G05D1/60,G05D1/644,G05D1/648,G05D105:00,G05D105:15,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:63","特開2019-067317","","特許7166051","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-067317/11/ja"
"特開2019-067316","特願2017-194735","2017/10/05","2019/04/25","無人搬送車","株式会社前川製作所","G05D1/02@N,A01B69/00@A,A01B69/00,303@L,A01B69/00,303@G,G05D1/02@E,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D1/644,G05D1/648,G05D105:00,G05D105:15,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:63","特開2019-067316","","特許7166050","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-067316/11/ja"
"特開2019-067315","特願2017-194734","2017/10/05","2019/04/25","無人搬送車","株式会社前川製作所","G05D1/02@N,B60P3/00,B61B13/02,G05D1/43,G05D1/60,G05D1/644,G05D1/648,G05D105:00,G05D105:15,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2019-067315","","特許6995556","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-067315/11/ja"
"特開2019-064457","特願2017-191975","2017/09/29","2019/04/25","無人搬送車及び無人搬送システム","アイシン・エィ・ダブリュ株式会社","B60P1/02@Z,B61B13/00@A","特開2019-064457","","特許6855995","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-064457/11/ja"
"特開2019-036302","特願2018-149480","2018/08/08","2019/03/07","無人搬送車の制御装置及び制御方法","株式会社豊田自動織機","G05D1/02@W,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/622,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50","特開2019-036302","","特許7047659","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-036302/11/ja"
