"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2001-130890","特願平11-313306","1999/11/04","2001/05/15","無人搬送車のリフター式移載装置","株式会社明電舎","B66F9/12@Z","特開2001-130890","","特許4103271","","","特許 消滅","存続期間満了による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-130890/11/ja"
"特開2001-125639","特願平11-310618","1999/11/01","2001/05/11","無人搬送車の走行条件設定装置","ＵＤトラックス株式会社","B61B13/00@V,B65G1/00,501@C,B65G1/00,511@F,G05D1/02@A,G05D1/02@R,G05D1/228,G05D1/229,G05D1/24,G05D1/244,G05D1/43,G05D1/60,G05D1/617,G05D1/646,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:60","特開2001-125639","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-125639/11/ja"
"特開2001-122402","特願平11-306731","1999/10/28","2001/05/08","無人搬送車","村田機械株式会社","B65G1/00,501@C","特開2001-122402","","","","","（出願の）却下・拒絶","出願の取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-122402/11/ja"
"特開2001-117639","特願平11-292996","1999/10/14","2001/04/27","無人搬送車システム","ニチユ三菱フォークリフト株式会社","B65G1/00,501@C,G05D1/02@A,G05D1/02@J,G05D1/243,G05D1/244,G05D1/248,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2001-117639","","特許3613548","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-117639/11/ja"
"特開2001-109520","特願平11-290587","1999/10/13","2001/04/20","無人搬送車の操舵制御機構","株式会社明電舎","B62D1/28,B62D6/00,B62D113:00,B62D117:00,B62D137:00,G05D1/02@B,G05D1/02@R,G05D1/02@W,G05D1/244,G05D1/43,G05D1/60,G05D1/617,G05D1/646,G05D1/80,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2001-109520","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-109520/11/ja"
"特開2001-100842","特願平11-283170","1999/10/04","2001/04/13","無人搬送車システム","村田機械株式会社","G05D1/02@P,G05D1/02@S,G05D1/225,G05D1/229,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/646,G05D1/69,G05D1/692,G05D1/693,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:30","特開2001-100842","","特許3367485","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-100842/11/ja"
"特開2001-100841","特願平11-283169","1999/10/04","2001/04/13","無人搬送車システム","村田機械株式会社","B65G1/00,501@C,B65G1/137@A,G05D1/02@P,G05D1/226,G05D1/229,G05D1/43,G05D1/60,G05D1/646,G05D1/69,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:30","特開2001-100841","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-100841/11/ja"
"特開2001-097235","特願平11-281447","1999/10/01","2001/04/10","無人搬送車の旋回制御装置","ニチユ三菱フォークリフト株式会社","B62D6/00,B62D137:00","特開2001-097235","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-097235/11/ja"
"特開2001-088906","特願平11-264760","1999/09/20","2001/04/03","無人搬送車システム","村田機械株式会社","B65G1/00,501@D,B65G1/137@A,B66F9/24@A","特開2001-088906","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-088906/11/ja"
"特開2001-084037","特願平11-259177","1999/09/13","2001/03/30","無人搬送車システム","村田機械株式会社","B65G1/00,501@C,G05D1/02@P,G05D1/02@Z,G05D1/226,G05D1/43,G05D1/60,G05D1/617,G05D1/661,G05D1/69,G05D1/698,G05D1/80,G05D1/86,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2001-084037","","特許3355346","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-084037/11/ja"
